,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
14,1983,1,jacarepagua,False,False,True,False,False,keke_rosberg,Finnish,williams,1,15,0,0,0,0,0,0,0.0,34
5,1983,1,jacarepagua,False,False,True,False,False,prost,French,renault,2,6,0,0,0,0,0,0,0.14599999999998658,28
3,1983,1,jacarepagua,False,False,True,False,False,tambay,French,ferrari,3,4,0,0,0,0,0,0,0.23199999999999932,33
0,1983,1,jacarepagua,False,False,True,False,False,piquet,Brazilian,brabham,4,1,0,0,0,0,0,0,0.5879999999999939,30
6,1983,1,jacarepagua,False,False,True,False,False,warwick,British,toleman,5,7,0,0,0,0,0,0,0.6799999999999926,28
8,1983,1,jacarepagua,False,False,True,False,False,arnoux,French,ferrari,6,9,0,0,0,0,0,0,1.0209999999999866,34
22,1983,1,jacarepagua,False,False,True,False,False,patrese,Italian,brabham,7,23,0,0,0,0,0,0,1.431999999999988,28
17,1983,1,jacarepagua,False,False,True,False,False,cheever,American,renault,8,18,0,0,0,0,0,0,1.5249999999999915,25
1,1983,1,jacarepagua,False,False,True,False,False,lauda,Austrian,mclaren,9,2,0,0,0,0,0,0,1.5279999999999916,34
20,1983,1,jacarepagua,False,False,True,False,False,baldi,Italian,alfa,10,21,0,0,0,0,0,0,1.5999999999999943,29
25,1983,1,jacarepagua,False,False,True,False,False,alboreto,Italian,tyrrell,11,26,0,0,0,0,0,0,1.7649999999999864,26
21,1983,1,jacarepagua,False,False,True,False,False,jarier,French,ligier,12,22,0,0,0,0,0,0,1.8669999999999902,36
15,1983,1,jacarepagua,False,False,True,False,False,angelis,Italian,team_lotus,13,16,0,0,0,0,0,0,1.9279999999999973,24
16,1983,1,jacarepagua,False,False,True,False,False,guerrero,Colombian,theodore,14,17,0,0,0,0,0,0,2.167999999999992,24
24,1983,1,jacarepagua,False,False,True,False,False,giacomelli,Italian,toleman,15,25,0,0,0,0,0,0,2.2209999999999894,30
18,1983,1,jacarepagua,False,False,True,False,False,watson,British,mclaren,16,19,0,0,0,0,0,0,2.4509999999999934,36
19,1983,1,jacarepagua,False,False,True,False,False,boesel,Brazilian,ligier,17,20,0,0,0,0,0,0,3.2029999999999887,25
2,1983,1,jacarepagua,False,False,True,False,False,laffite,French,williams,18,3,0,0,0,0,0,0,3.7079999999999984,39
11,1983,1,jacarepagua,False,False,True,False,False,cecotto,Venezuelan,theodore,19,12,0,0,0,0,0,0,3.8519999999999897,27
4,1983,1,jacarepagua,False,False,True,False,False,surer,Swiss,arrows,20,5,0,0,0,0,0,0,3.941999999999993,31
9,1983,1,jacarepagua,False,False,True,False,False,sullivan,American,tyrrell,21,10,0,0,0,0,0,0,4.159999999999997,33
10,1983,1,jacarepagua,False,False,True,False,False,mansell,British,team_lotus,22,11,0,0,0,0,0,0,4.627999999999986,29
7,1983,1,jacarepagua,False,False,True,False,False,serra,Brazilian,arrows,23,8,0,0,0,0,0,0,5.438999999999993,26
23,1983,1,jacarepagua,False,False,True,False,False,corrado_fabi,Italian,osella,24,24,0,0,0,0,0,0,5.782999999999987,21
13,1983,1,jacarepagua,False,False,True,False,False,manfred_winkelhock,German,ats,25,14,0,0,0,0,0,0,6.626999999999981,31
12,1983,1,jacarepagua,False,False,True,False,False,salazar,Chilean,ram,26,13,0,0,0,0,0,0,6.951999999999998,28
47,1983,2,long_beach,True,False,False,False,False,tambay,French,ferrari,1,22,2,0,4,2,0,4,0.0,33
28,1983,2,long_beach,True,False,False,False,False,arnoux,French,ferrari,2,3,0,0,9,2,0,4,0.8179999999999978,34
48,1983,2,long_beach,True,False,False,False,False,keke_rosberg,Finnish,williams,3,23,0,0,0,3,0,3,1.0279999999999916,34
29,1983,2,long_beach,True,False,False,False,False,laffite,French,williams,4,4,3,0,3,3,0,3,1.7009999999999934,39
42,1983,2,long_beach,True,False,False,False,False,angelis,Italian,team_lotus,5,17,0,0,0,0,0,9,1.8649999999999949,25
50,1983,2,long_beach,True,False,False,False,False,warwick,British,toleman,6,25,0,0,7,0,0,7,2.012999999999991,28
34,1983,2,long_beach,True,False,False,False,False,alboreto,Italian,tyrrell,7,9,0,0,24,0,0,8,2.3079999999999927,26
36,1983,2,long_beach,True,False,False,False,False,prost,French,renault,8,11,0,0,6,0,0,6,2.4409999999999883,28
33,1983,2,long_beach,True,False,False,False,False,sullivan,American,tyrrell,9,8,0,0,10,0,0,8,2.715999999999994,33
44,1983,2,long_beach,True,False,False,False,False,jarier,French,ligier,10,19,0,0,20,0,0,13,2.7959999999999923,36
35,1983,2,long_beach,True,False,False,False,False,patrese,Italian,brabham,11,10,0,0,21,9,1,1,2.840999999999994,28
39,1983,2,long_beach,True,False,False,False,False,jones,Australian,arrows,12,14,0,0,0,1,0,5,2.9949999999999903,36
37,1983,2,long_beach,True,False,False,False,False,mansell,British,team_lotus,13,12,0,0,11,0,0,9,3.049999999999997,29
45,1983,2,long_beach,True,False,False,False,False,giacomelli,Italian,toleman,14,20,0,0,23,0,0,7,3.1489999999999867,30
38,1983,2,long_beach,True,False,False,False,False,cheever,American,renault,15,13,0,0,16,0,0,6,3.3049999999999926,25
30,1983,2,long_beach,True,False,False,False,False,surer,Swiss,arrows,16,5,1,0,5,1,0,5,3.4039999999999964,31
31,1983,2,long_beach,True,False,False,False,False,cecotto,Venezuelan,theodore,17,6,0,0,12,0,0,10,3.441999999999993,27
43,1983,2,long_beach,True,False,False,False,False,guerrero,Colombian,theodore,18,18,0,0,15,0,0,10,3.4680000000000035,24
41,1983,2,long_beach,True,False,False,False,False,cesaris,Italian,alfa,19,16,0,0,25,0,0,14,3.486000000000004,23
40,1983,2,long_beach,True,False,False,False,False,piquet,Brazilian,brabham,20,15,9,1,1,9,1,1,3.9169999999999874,30
46,1983,2,long_beach,True,False,False,False,False,baldi,Italian,alfa,21,21,0,0,19,0,0,14,3.9529999999999887,29
26,1983,2,long_beach,True,False,False,False,False,watson,British,mclaren,22,1,0,0,17,4,0,2,3.98299999999999,36
27,1983,2,long_beach,True,False,False,False,False,lauda,Austrian,mclaren,23,2,4,0,2,4,0,2,4.070999999999998,34
51,1983,2,long_beach,True,False,False,False,False,manfred_winkelhock,German,ats,24,26,0,0,14,0,0,12,4.102999999999994,31
49,1983,2,long_beach,True,False,False,False,False,salazar,Chilean,ram,25,24,0,0,13,0,0,11,5.009,28
32,1983,2,long_beach,True,False,False,False,False,boesel,Brazilian,ligier,26,7,0,0,18,0,0,13,5.641999999999996,25
52,1983,3,ricard,False,False,False,False,True,prost,French,renault,1,1,0,0,9,0,0,7,0.0,28
54,1983,3,ricard,False,False,False,False,True,cheever,American,renault,2,3,0,0,17,0,0,7,2.3079999999999927,25
74,1983,3,ricard,False,False,False,False,True,patrese,Italian,brabham,3,23,0,0,15,9,1,2,2.432000000000002,29
58,1983,3,ricard,False,False,False,False,True,arnoux,French,ferrari,4,7,4,0,5,6,0,3,2.443000000000012,34
73,1983,3,ricard,False,False,False,False,True,angelis,Italian,team_lotus,5,22,0,0,23,0,0,11,2.6400000000000006,25
53,1983,3,ricard,False,False,False,False,True,piquet,Brazilian,brabham,6,2,9,1,2,9,1,2,2.929000000000002,30
63,1983,3,ricard,False,False,False,False,True,cesaris,Italian,alfa,7,12,0,0,21,0,0,14,2.938999999999993,23
69,1983,3,ricard,False,False,False,False,True,baldi,Italian,alfa,8,18,0,0,26,0,0,14,2.945999999999998,29
75,1983,3,ricard,False,False,False,False,True,warwick,British,toleman,9,24,0,0,12,0,0,10,3.209000000000003,28
67,1983,3,ricard,False,False,False,False,True,manfred_winkelhock,German,ats,10,16,0,0,19,0,0,13,3.561000000000007,31
55,1983,3,ricard,False,False,False,False,True,tambay,French,ferrari,11,4,2,0,7,6,0,3,3.7210000000000036,33
68,1983,3,ricard,False,False,False,False,True,lauda,Austrian,mclaren,12,17,10,0,1,19,1,1,4.393000000000001,34
64,1983,3,ricard,False,False,False,False,True,giacomelli,Italian,toleman,13,13,0,0,25,0,0,10,5.103000000000009,30
77,1983,3,ricard,False,False,False,False,True,watson,British,mclaren,14,26,9,1,3,19,1,1,5.165999999999997,36
59,1983,3,ricard,False,False,False,False,True,alboreto,Italian,tyrrell,15,8,0,0,13,0,0,9,5.5049999999999955,26
56,1983,3,ricard,False,False,False,False,True,keke_rosberg,Finnish,williams,16,5,0,0,27,6,0,4,5.778000000000006,34
62,1983,3,ricard,False,False,False,False,True,cecotto,Venezuelan,theodore,17,11,1,0,8,1,0,6,5.943000000000012,27
76,1983,3,ricard,False,False,False,False,True,mansell,British,team_lotus,18,25,0,0,16,0,0,11,5.978000000000009,29
57,1983,3,ricard,False,False,False,False,True,laffite,French,williams,19,6,6,0,4,6,0,4,6.006,39
60,1983,3,ricard,False,False,False,False,True,jarier,French,ligier,20,9,0,0,24,0,0,8,6.064999999999998,36
61,1983,3,ricard,False,False,False,False,True,surer,Swiss,arrows,21,10,3,0,6,3,0,5,6.290000000000006,31
71,1983,3,ricard,False,False,False,False,True,guerrero,Colombian,theodore,22,20,0,0,22,1,0,6,6.694999999999993,24
66,1983,3,ricard,False,False,False,False,True,corrado_fabi,Italian,osella,23,15,0,0,28,0,0,15,6.739000000000004,22
72,1983,3,ricard,False,False,False,False,True,sullivan,American,tyrrell,24,21,0,0,11,0,0,9,6.981999999999999,33
65,1983,3,ricard,False,False,False,False,True,boesel,Brazilian,ligier,25,14,0,0,10,0,0,8,7.798000000000002,25
70,1983,3,ricard,False,False,False,False,True,serra,Brazilian,arrows,26,19,0,0,14,3,0,5,8.105999999999995,26
80,1983,4,imola,False,False,False,False,False,arnoux,French,ferrari,1,3,4,0,7,9,0,4,0.0,34
93,1983,4,imola,False,False,False,False,False,piquet,Brazilian,brabham,2,16,15,1,1,15,1,2,0.7259999999999991,30
78,1983,4,imola,False,False,False,False,False,tambay,French,ferrari,3,1,5,0,6,9,0,4,0.7289999999999992,33
79,1983,4,imola,False,False,False,False,False,prost,French,renault,4,2,9,1,3,13,1,3,0.9000000000000057,28
90,1983,4,imola,False,False,False,False,False,patrese,Italian,brabham,5,13,0,0,18,15,1,2,1.7309999999999945,29
103,1983,4,imola,False,False,False,False,False,cheever,American,renault,6,26,4,0,8,13,1,3,2.2120000000000033,25
88,1983,4,imola,False,False,False,False,False,manfred_winkelhock,German,ats,7,11,0,0,23,0,0,14,2.2319999999999993,31
91,1983,4,imola,False,False,False,False,False,cesaris,Italian,alfa,8,14,0,0,20,0,0,12,2.289999999999992,23
92,1983,4,imola,False,False,False,False,False,angelis,Italian,team_lotus,9,15,0,0,27,0,0,11,3.093999999999994,25
87,1983,4,imola,False,False,False,False,False,baldi,Italian,alfa,10,10,0,0,28,0,0,12,3.7620000000000005,29
81,1983,4,imola,False,False,False,False,False,keke_rosberg,Finnish,williams,11,4,2,0,10,9,0,5,3.847999999999999,34
83,1983,4,imola,False,False,False,False,False,surer,Swiss,arrows,12,6,3,0,9,3,0,6,4.173000000000002,31
101,1983,4,imola,False,False,False,False,False,alboreto,Italian,tyrrell,13,24,0,0,13,0,0,9,4.287000000000006,26
96,1983,4,imola,False,False,False,False,False,warwick,British,toleman,14,19,0,0,15,0,0,10,4.438000000000002,28
89,1983,4,imola,False,False,False,False,False,mansell,British,team_lotus,15,12,0,0,19,0,0,11,4.465000000000003,29
84,1983,4,imola,False,False,False,False,False,laffite,French,williams,16,7,7,0,5,9,0,5,4.468999999999994,39
98,1983,4,imola,False,False,False,False,False,giacomelli,Italian,toleman,17,21,0,0,21,0,0,10,4.7309999999999945,30
99,1983,4,imola,False,False,False,False,False,lauda,Austrian,mclaren,18,22,10,0,2,19,1,1,4.86099999999999,34
94,1983,4,imola,False,False,False,False,False,jarier,French,ligier,19,17,0,0,16,0,0,8,4.878,36
85,1983,4,imola,False,False,False,False,False,serra,Brazilian,arrows,20,8,0,0,17,3,0,6,5.02000000000001,26
102,1983,4,imola,False,False,False,False,False,guerrero,Colombian,theodore,21,25,0,0,26,1,0,7,5.0859999999999985,24
95,1983,4,imola,False,False,False,False,False,sullivan,American,tyrrell,22,18,0,0,14,0,0,9,5.121000000000009,33
100,1983,4,imola,False,False,False,False,False,cecotto,Venezuelan,theodore,23,23,1,0,11,1,0,7,5.400000000000006,27
82,1983,4,imola,False,False,False,False,False,watson,British,mclaren,24,5,9,1,4,19,1,1,5.4140000000000015,36
86,1983,4,imola,False,False,False,False,False,boesel,Brazilian,ligier,25,9,0,0,12,0,0,8,6.084000000000003,25
97,1983,4,imola,False,False,False,False,False,corrado_fabi,Italian,osella,26,20,0,0,25,0,0,15,6.472999999999999,22
106,1983,5,monaco,False,False,False,True,False,prost,French,renault,1,3,15,1,1,19,1,3,0.0,28
119,1983,5,monaco,False,False,False,True,False,arnoux,French,ferrari,2,16,8,0,6,22,1,1,0.34199999999999875,34
117,1983,5,monaco,False,False,False,True,False,cheever,American,renault,3,14,4,0,9,19,1,3,1.438999999999993,25
107,1983,5,monaco,False,False,False,True,False,tambay,French,ferrari,4,4,14,1,3,22,1,1,1.4579999999999984,33
104,1983,5,monaco,False,False,False,True,False,keke_rosberg,Finnish,williams,5,1,5,0,8,12,0,5,1.4669999999999987,34
105,1983,5,monaco,False,False,False,True,False,piquet,Brazilian,brabham,6,2,15,1,2,15,1,4,2.4329999999999927,30
118,1983,5,monaco,False,False,False,True,False,cesaris,Italian,alfa,7,15,0,0,22,0,0,11,2.8400000000000034,23
112,1983,5,monaco,False,False,False,True,False,laffite,French,williams,8,9,7,0,7,12,0,5,2.8859999999999957,39
116,1983,5,monaco,False,False,False,True,False,jarier,French,ligier,9,13,0,0,17,0,0,8,3.0660000000000025,36
114,1983,5,monaco,False,False,False,True,False,warwick,British,toleman,10,11,0,0,16,0,0,10,3.1769999999999925,28
122,1983,5,monaco,False,False,False,True,False,alboreto,Italian,tyrrell,11,19,0,0,14,0,0,9,3.415999999999997,26
113,1983,5,monaco,False,False,False,True,False,surer,Swiss,arrows,12,10,4,0,10,4,0,6,3.5060000000000002,31
109,1983,5,monaco,False,False,False,True,False,baldi,Italian,alfa,13,6,0,0,19,0,0,11,3.7989999999999924,29
123,1983,5,monaco,False,False,False,True,False,mansell,British,team_lotus,14,20,0,0,21,0,0,13,3.8810000000000002,29
110,1983,5,monaco,False,False,False,True,False,serra,Brazilian,arrows,15,7,0,0,13,4,0,6,3.9439999999999884,26
121,1983,5,monaco,False,False,False,True,False,manfred_winkelhock,German,ats,16,18,0,0,20,0,0,12,4.134999999999991,31
111,1983,5,monaco,False,False,False,True,False,patrese,Italian,brabham,17,8,0,0,18,15,1,4,4.359999999999999,29
120,1983,5,monaco,False,False,False,True,False,boesel,Brazilian,ligier,18,17,0,0,12,0,0,8,4.382000000000005,25
115,1983,5,monaco,False,False,False,True,False,angelis,Italian,team_lotus,19,12,0,0,26,0,0,13,4.677999999999997,25
108,1983,5,monaco,False,False,False,True,False,sullivan,American,tyrrell,20,5,0,0,15,0,0,9,4.689999999999998,33
124,1983,6,spa,False,False,False,False,False,prost,French,renault,1,1,19,1,2,23,1,2,0.0,28
125,1983,6,spa,False,False,False,False,False,tambay,French,ferrari,2,2,17,1,3,25,1,1,0.01100000000000989,33
140,1983,6,spa,False,False,False,False,False,cesaris,Italian,alfa,3,17,0,0,22,1,0,8,0.22500000000000853,23
127,1983,6,spa,False,False,False,False,False,piquet,Brazilian,brabham,4,4,21,1,1,21,1,3,1.0130000000000052,30
142,1983,6,spa,False,False,False,False,False,arnoux,French,ferrari,5,19,8,0,7,25,1,1,1.1219999999999999,34
149,1983,6,spa,False,False,False,False,False,patrese,Italian,brabham,6,26,0,0,19,21,1,3,1.5220000000000056,29
144,1983,6,spa,False,False,False,False,False,manfred_winkelhock,German,ats,7,21,0,0,20,0,0,12,1.649000000000001,31
126,1983,6,spa,False,False,False,False,False,cheever,American,renault,8,3,4,0,9,23,1,2,2.679000000000002,25
128,1983,6,spa,False,False,False,False,False,keke_rosberg,Finnish,williams,9,5,14,1,4,21,1,5,3.3599999999999994,34
134,1983,6,spa,False,False,False,False,False,surer,Swiss,arrows,10,11,4,0,10,4,0,6,3.971999999999994,31
129,1983,6,spa,False,False,False,False,False,laffite,French,williams,11,6,7,0,8,21,1,5,4.537999999999997,39
148,1983,6,spa,False,False,False,False,False,baldi,Italian,alfa,12,25,1,0,12,1,0,8,4.609999999999999,29
132,1983,6,spa,False,False,False,False,False,angelis,Italian,team_lotus,13,9,0,0,25,0,0,13,4.695000000000007,25
141,1983,6,spa,False,False,False,False,False,guerrero,Colombian,theodore,14,18,0,0,28,1,0,9,4.707000000000008,24
138,1983,6,spa,False,False,False,False,False,lauda,Austrian,mclaren,15,15,10,0,6,21,1,4,4.859999999999999,34
131,1983,6,spa,False,False,False,False,False,giacomelli,Italian,toleman,16,8,0,0,23,0,0,11,5.090999999999994,30
137,1983,6,spa,False,False,False,False,False,alboreto,Italian,tyrrell,17,14,0,0,16,2,0,7,5.124000000000009,26
147,1983,6,spa,False,False,False,False,False,boutsen,Belgian,arrows,18,24,0,0,0,4,0,6,5.26100000000001,25
139,1983,6,spa,False,False,False,False,False,mansell,British,team_lotus,19,16,0,0,21,0,0,13,5.309000000000012,29
145,1983,6,spa,False,False,False,False,False,watson,British,mclaren,20,22,11,1,5,21,1,4,5.703000000000017,37
146,1983,6,spa,False,False,False,False,False,jarier,French,ligier,21,23,0,0,18,0,0,10,6.73899999999999,36
130,1983,6,spa,False,False,False,False,False,warwick,British,toleman,22,7,0,0,17,0,0,11,6.858999999999995,28
135,1983,6,spa,False,False,False,False,False,sullivan,American,tyrrell,23,12,2,0,11,2,0,7,7.067999999999998,33
143,1983,6,spa,False,False,False,False,False,corrado_fabi,Italian,osella,24,20,0,0,27,0,0,15,7.119000000000014,22
133,1983,6,spa,False,False,False,False,False,cecotto,Venezuelan,theodore,25,10,1,0,13,1,0,9,7.245000000000019,27
136,1983,6,spa,False,False,False,False,False,boesel,Brazilian,ligier,26,13,0,0,15,0,0,10,7.695000000000007,25
166,1983,7,detroit,True,False,False,False,False,arnoux,French,ferrari,1,17,8,0,7,31,1,2,0.0,34
153,1983,7,detroit,True,False,False,False,False,piquet,Brazilian,brabham,2,4,24,1,2,24,1,3,0.19899999999998386,30
175,1983,7,detroit,True,False,False,False,False,tambay,French,ferrari,3,26,23,1,3,31,1,2,1.2569999999999908,33
172,1983,7,detroit,True,False,False,False,False,angelis,Italian,team_lotus,4,23,0,0,19,0,0,12,1.524000000000001,25
160,1983,7,detroit,True,False,False,False,False,surer,Swiss,arrows,5,11,4,0,10,4,0,6,2.0109999999999957,31
150,1983,7,detroit,True,False,False,False,False,alboreto,Italian,tyrrell,6,1,0,0,17,2,0,7,2.2789999999999964,26
173,1983,7,detroit,True,False,False,False,False,cheever,American,renault,7,24,8,0,8,36,2,1,2.5999999999999943,25
165,1983,7,detroit,True,False,False,False,False,cesaris,Italian,alfa,8,16,0,0,24,1,0,9,2.718999999999994,24
170,1983,7,detroit,True,False,False,False,False,warwick,British,toleman,9,21,0,0,15,0,0,10,2.799999999999983,28
156,1983,7,detroit,True,False,False,False,False,boutsen,Belgian,arrows,10,7,0,0,29,4,0,6,2.8519999999999897,25
163,1983,7,detroit,True,False,False,False,False,guerrero,Colombian,theodore,11,14,0,0,28,1,0,8,2.9669999999999845,24
151,1983,7,detroit,True,False,False,False,False,keke_rosberg,Finnish,williams,12,2,16,1,4,24,1,4,2.9939999999999998,34
157,1983,7,detroit,True,False,False,False,False,prost,French,renault,13,8,28,2,1,36,2,1,3.120999999999981,28
155,1983,7,detroit,True,False,False,False,False,mansell,British,team_lotus,14,6,0,0,23,0,0,12,3.6610000000000014,29
171,1983,7,detroit,True,False,False,False,False,patrese,Italian,brabham,15,22,0,0,21,24,1,3,3.8029999999999973,29
167,1983,7,detroit,True,False,False,False,False,sullivan,American,tyrrell,16,18,2,0,11,2,0,7,3.9139999999999873,33
158,1983,7,detroit,True,False,False,False,False,giacomelli,Italian,toleman,17,9,0,0,18,0,0,10,4.050999999999988,30
162,1983,7,detroit,True,False,False,False,False,lauda,Austrian,mclaren,18,13,10,0,6,21,1,5,4.257999999999981,34
168,1983,7,detroit,True,False,False,False,False,jarier,French,ligier,19,19,0,0,20,0,0,11,4.259999999999991,36
154,1983,7,detroit,True,False,False,False,False,laffite,French,williams,20,5,8,0,9,24,1,4,4.510999999999996,39
152,1983,7,detroit,True,False,False,False,False,watson,British,mclaren,21,3,11,1,5,21,1,5,4.515999999999991,37
169,1983,7,detroit,True,False,False,False,False,manfred_winkelhock,German,ats,22,20,0,0,22,0,0,13,4.731999999999999,31
159,1983,7,detroit,True,False,False,False,False,boesel,Brazilian,ligier,23,10,0,0,16,0,0,11,4.805999999999983,25
174,1983,7,detroit,True,False,False,False,False,ghinzani,Italian,osella,24,25,0,0,30,0,0,15,5.150999999999982,31
161,1983,7,detroit,True,False,False,False,False,baldi,Italian,alfa,25,12,1,0,13,1,0,9,5.181999999999988,29
164,1983,7,detroit,True,False,False,False,False,cecotto,Venezuelan,theodore,26,15,1,0,12,1,0,8,6.974999999999994,27
176,1983,8,villeneuve,True,False,False,False,False,arnoux,French,ferrari,1,1,8,0,9,31,1,3,0.0,34
180,1983,8,villeneuve,True,False,False,False,False,prost,French,renault,2,5,28,2,1,36,2,1,0.10099999999999909,28
197,1983,8,villeneuve,True,False,False,False,False,piquet,Brazilian,brabham,3,22,27,1,2,27,1,4,0.15800000000000125,30
178,1983,8,villeneuve,True,False,False,False,False,tambay,French,ferrari,4,3,23,1,3,31,1,3,0.26300000000000523,33
187,1983,8,villeneuve,True,False,False,False,False,patrese,Italian,brabham,5,12,0,0,23,27,1,4,0.8200000000000074,29
177,1983,8,villeneuve,True,False,False,False,False,cheever,American,renault,6,2,8,0,10,36,2,1,1.1340000000000003,25
184,1983,8,villeneuve,True,False,False,False,False,manfred_winkelhock,German,ats,7,9,0,0,24,0,0,13,2.237000000000009,31
191,1983,8,villeneuve,True,False,False,False,False,cesaris,Italian,alfa,8,16,0,0,25,1,0,10,2.4440000000000026,24
179,1983,8,villeneuve,True,False,False,False,False,keke_rosberg,Finnish,williams,9,4,22,1,4,32,1,2,2.7510000000000048,34
189,1983,8,villeneuve,True,False,False,False,False,giacomelli,Italian,toleman,10,14,0,0,20,0,0,11,2.8569999999999993,30
199,1983,8,villeneuve,True,False,False,False,False,angelis,Italian,team_lotus,11,24,0,0,21,1,0,8,3.0930000000000035,25
188,1983,8,villeneuve,True,False,False,False,False,warwick,British,toleman,12,13,0,0,17,0,0,11,3.3870000000000005,28
192,1983,8,villeneuve,True,False,False,False,False,laffite,French,williams,13,17,10,0,7,32,1,2,3.456000000000003,39
200,1983,8,villeneuve,True,False,False,False,False,surer,Swiss,arrows,14,25,4,0,11,4,0,7,3.810999999999993,31
182,1983,8,villeneuve,True,False,False,False,False,boutsen,Belgian,arrows,15,7,0,0,19,4,0,7,3.846999999999994,25
201,1983,8,villeneuve,True,False,False,False,False,jarier,French,ligier,16,26,0,0,22,0,0,12,3.9129999999999967,36
183,1983,8,villeneuve,True,False,False,False,False,alboreto,Italian,tyrrell,17,8,9,1,8,11,1,6,4.445999999999998,26
190,1983,8,villeneuve,True,False,False,False,False,mansell,British,team_lotus,18,15,1,0,15,1,0,8,4.858999999999995,29
198,1983,8,villeneuve,True,False,False,False,False,lauda,Austrian,mclaren,19,23,10,0,6,25,1,5,4.941999999999993,34
181,1983,8,villeneuve,True,False,False,False,False,watson,British,mclaren,20,6,15,1,5,25,1,5,4.975999999999999,37
194,1983,8,villeneuve,True,False,False,False,False,guerrero,Colombian,theodore,21,19,0,0,27,1,0,9,4.992000000000004,24
186,1983,8,villeneuve,True,False,False,False,False,sullivan,American,tyrrell,22,11,2,0,12,11,1,6,5.061999999999998,33
196,1983,8,villeneuve,True,False,False,False,False,cecotto,Venezuelan,theodore,23,21,1,0,13,1,0,9,5.584999999999994,27
193,1983,8,villeneuve,True,False,False,False,False,boesel,Brazilian,ligier,24,18,0,0,18,0,0,12,5.756999999999991,25
195,1983,8,villeneuve,True,False,False,False,False,corrado_fabi,Italian,osella,25,20,0,0,29,0,0,15,5.814999999999998,22
185,1983,8,villeneuve,True,False,False,False,False,baldi,Italian,alfa,26,10,1,0,14,1,0,10,6.025999999999996,29
206,1983,9,silverstone,False,False,False,False,False,arnoux,French,ferrari,1,5,17,1,5,44,2,2,0.0,35
204,1983,9,silverstone,False,False,False,False,False,tambay,French,ferrari,2,3,27,1,3,44,2,2,0.6419999999999959,34
202,1983,9,silverstone,False,False,False,False,False,prost,French,renault,3,1,30,2,1,44,2,1,0.7079999999999984,28
227,1983,9,silverstone,False,False,False,False,False,angelis,Italian,team_lotus,4,26,0,0,22,1,0,8,1.3089999999999975,25
224,1983,9,silverstone,False,False,False,False,False,patrese,Italian,brabham,5,22,0,0,24,27,1,4,1.418999999999997,29
203,1983,9,silverstone,False,False,False,False,False,piquet,Brazilian,brabham,6,2,27,1,2,27,1,4,1.4709999999999894,30
225,1983,9,silverstone,False,False,False,False,False,cheever,American,renault,7,24,14,0,7,44,2,1,1.5930000000000035,25
220,1983,9,silverstone,False,False,False,False,False,manfred_winkelhock,German,ats,8,18,0,0,21,0,0,13,2.2249999999999943,31
210,1983,9,silverstone,False,False,False,False,False,cesaris,Italian,alfa,9,8,0,0,25,1,0,9,2.6880000000000024,24
223,1983,9,silverstone,False,False,False,False,False,warwick,British,toleman,10,21,0,0,18,0,0,11,3.0660000000000025,28
209,1983,9,silverstone,False,False,False,False,False,baldi,Italian,alfa,11,7,1,0,13,1,0,9,3.397999999999996,29
226,1983,9,silverstone,False,False,False,False,False,giacomelli,Italian,toleman,12,25,0,0,20,0,0,11,3.9599999999999937,30
213,1983,9,silverstone,False,False,False,False,False,keke_rosberg,Finnish,williams,13,11,25,1,4,35,1,3,4.292999999999992,34
207,1983,9,silverstone,False,False,False,False,False,lauda,Austrian,mclaren,15,6,10,0,8,26,1,5,4.804999999999993,34
208,1983,9,silverstone,False,False,False,False,False,johansson,Swedish,spirit,15,23,0,0,0,0,0,0,4.804999999999993,26
215,1983,9,silverstone,False,False,False,False,False,alboreto,Italian,tyrrell,16,13,9,1,10,11,1,6,5.188999999999993,26
217,1983,9,silverstone,False,False,False,False,False,boutsen,Belgian,arrows,17,15,0,0,16,4,0,7,5.501999999999995,26
205,1983,9,silverstone,False,False,False,False,False,mansell,British,team_lotus,18,4,1,0,15,1,0,8,5.670999999999992,29
219,1983,9,silverstone,False,False,False,False,False,surer,Swiss,arrows,19,17,4,0,11,4,0,7,5.673000000000002,31
214,1983,9,silverstone,False,False,False,False,False,laffite,French,williams,20,12,10,0,9,35,1,3,5.771999999999991,39
218,1983,9,silverstone,False,False,False,False,False,guerrero,Colombian,theodore,21,16,0,0,27,1,0,10,5.855000000000004,24
221,1983,9,silverstone,False,False,False,False,False,boesel,Brazilian,ligier,22,19,0,0,19,0,0,12,5.923999999999992,25
216,1983,9,silverstone,False,False,False,False,False,sullivan,American,tyrrell,23,14,2,0,12,11,1,6,5.986999999999995,33
211,1983,9,silverstone,False,False,False,False,False,watson,British,mclaren,24,9,16,1,6,26,1,5,6.146999999999991,37
212,1983,9,silverstone,False,False,False,False,False,jarier,French,ligier,25,10,0,0,23,0,0,12,6.304999999999993,37
222,1983,9,silverstone,False,False,False,False,False,ghinzani,Italian,osella,26,20,0,0,30,0,0,15,7.081999999999994,31
249,1983,10,hockenheimring,False,False,True,False,False,tambay,French,ferrari,1,22,31,1,3,50,2,2,0.0,34
228,1983,10,hockenheimring,False,False,True,False,False,arnoux,French,ferrari,2,1,19,1,5,50,2,2,0.10699999999999932,35
